estate,quantity,avg_price_saleable,avg_price_gross
Discovery Bay,49,"$11,650","$9,596"
Kingswood Villas,45,"$11,365","$8,777"
Mei Foo Sun Chuen,40,"$14,631","$11,029"
City One Shatin,37,"$17,627","$13,782"
South Horizons,29,"$18,400","$14,706"
Whampoa Garden,23,"$17,535","$15,121"
Taikoo Shing,23,"$20,474","$18,118"
Festival City,21,"$18,615","$14,106"
Metro City,20,"$17,161","$12,280"
Yoho Town,20,"$16,521","$12,715"
Tsuen Wan Centre,19,"$13,889","$10,954"
Park Signature,19,"$11,196",-
Bellagio,19,"$13,692","$10,448"
The Sherwood,18,"$12,511","$9,298"
Laguna Verde,18,"$19,103","$14,861"
Greenfield Garden,17,"$15,491","$11,905"
Siu Hong Court,16,"$10,634","$8,894"
Laguna City,16,"$14,772","$11,780"
The Reach,16,"$13,381","$9,804"
Kornhill,15,"$18,280","$14,884"
The Beaumount,15,"$13,760","$10,435"
Park Island,15,"$13,124","$10,046"
Central Park Towers,14,"$12,271","$9,279"
Amoy Gardens,14,"$16,983","$13,651"
Park Central,14,"$17,181","$12,969"
Caribbean Coast,14,"$12,433","$9,256"
Tai Hing Gardens,14,"$11,953","$9,298"
Yoho Midtown,13,"$16,661","$12,842"
Coastal Skyline,12,"$14,554","$10,729"
Sunshine City,12,"$17,680","$13,270"
Tai Po Centre,12,"$16,086","$11,847"
Telford Gardens,12,"$15,223","$13,326"
Fairview Park,12,"$13,860","$12,974"
Ocean Shores,11,"$16,976","$12,492"
Richland Gardens,11,"$13,836","$11,920"
Serenity Park,11,"$15,247","$11,352"
Belvedere Garden,11,"$12,833","$10,844"
Lake Silver,11,"$15,829","$12,092"
Grand Promenade,11,"$24,997","$18,131"
Villa Esplanada,11,"$17,134","$13,658"
Metro Harbour View,10,"$20,209","$14,074"
Palm Springs,10,"$12,055","$8,279"
Hongkong Garden,10,"$9,754","$6,733"
Riviera Gardens,10,"$13,013","$10,272"
Well On Garden,10,"$14,863","$10,837"
Heng Fa Chuen,10,"$17,669","$14,752"
Metro Town,10,"$16,754","$12,315"
Hampton Place,10,"$19,597","$14,432"
Siu Hei Court,10,"$12,204","$8,942"
Mont Vert,10,"$14,787",-
Harbour Place,10,"$19,615","$15,050"
Grand Waterfront,10,"$19,833","$14,435"
Rambler Crest,10,"$13,858","$9,857"
Mayfair Gardens,10,"$13,167","$10,402"
Green Code,9,"$13,917",-
Residence Bel-Air,9,"$33,344","$24,185"
Island Resort,9,"$18,632","$12,980"
Island Harbourview,9,"$20,733","$15,542"
Allway Gardens,9,"$11,222","$9,897"
Nan Fung Sun Chuen,9,"$17,610","$14,509"
Garden Rivera,9,"$19,183","$13,069"
The Visionary,9,"$13,634",-
Shatin New Town (Lucky Plaza),9,"$16,287","$12,709"
Shun Chi Court,9,"$10,316","$8,561"
Sui Wo Court,9,"$10,568","$9,280"
Discovery Park,9,"$14,706","$11,858"
Century Gateway,9,"$16,768","$13,037"
Golden Lion Garden,8,"$16,981","$10,649"
Wyler Gardens,8,"$16,669","$14,162"
Jubilee Garden,8,"$14,648","$11,534"
City Garden,8,"$17,166","$15,346"
Lei King Wan,8,"$19,338","$16,725"
Vista Paradiso,8,"$14,197","$11,460"
Tierra Verde,8,"$18,029","$14,366"
Grand Horizon,8,"$15,318","$11,502"
Monte Vista,8,"$13,229","$10,261"
The Parcville,8,"$13,755","$10,396"
Residence Oasis,8,"$17,583","$13,075"
Chelsea Court,8,"$16,840","$12,271"
The Merton,8,"$23,710","$17,374"
The Avenue,8,"$30,079",-
City Point,8,"$15,675",-
Fanling Town Center,8,"$13,831","$10,357"
Wai Wah Centre,8,"$18,031","$13,331"
Villa Athena,8,"$15,446","$12,640"
Hong Wah Court,7,"$13,424","$9,912"
Chi Fu Fa Yuen,7,"$15,602","$13,228"
Tak Bo Garden,7,"$18,182","$13,137"
Tsuen Tak Gardens,7,"$14,802","$10,645"
Sea Crest Villa,7,"$12,989","$10,081"
Tuen Mun Town Plaza,7,"$14,736","$10,800"
Whampoa Estate,7,"$17,329","$12,364"
Tseung Kwan O Plaza,7,"$17,901","$13,069"
Dawning Views,7,"$13,989","$10,190"
Castello,7,"$14,633","$11,460"
Tung Chung Crescent,7,"$13,281","$9,774"
Sereno Verde,7,"$11,392","$8,514"
Liberte,7,"$18,836","$14,252"
Serenity Place,7,"$12,642","$9,788"
Sausalito,7,"$14,983","$11,181"
